example.pdf
11
6
14
9
15
13
-1
6
14
1
5
13
-1
-1
10
1
12
12
3
1
1
12
7
1
12
-4
1
1
-5
-11
6
7
12
1
15
1
10
1
1
7
1
1
3
12
-4
-4
1
-4
-3
-2
9
5
14
-2
7
1
1
9
1
-9
1
12
2
1
12
9
2
15
-1
-1
6
14
5
12
12
9
1
1
6
1
1
2
14
1
1
1
-4
2
2
1
6
1
12
9
1
2
2
2
7
-1
2
14
1
1
1
2
16
13
6
5
10
6
9
6
12
13
8
1
1
12
12
3
7
1
10
1
14
-12
1
9
1
5
14
-5
13
8
12
11
9
7
14
-12
-4
7
12
1
1
-1
12
6
1
2
12
1
2
1
2
1
2
1
6
1
7
-4
15
10
12
12
10
13
8
9
13
12
2
1
2
8
-4
1
1
12
12
1
-4
14
-1
1
-5
-11
13
12
1
2
11
2
2
10
1
-12
-5
1
1
12
1
10
1
1
14
-1
3
1
1
1
14
2
1
1
12
1
12
12
9
6
12
9
14
-1
6
11
1
1
-1
1
1
-11
14
5
1
6
12
6
6
6
10
6
6
16
1
1
-5
-11
12
11
9
1
2
12
12
2
7
1
13
-1
2
-1
-3
1
2
6
10
7
14
7
7
12
11
-3
13
9
1
1
1
1
1
1
9
13
12
5
14
4
12
6
6
1
1
2
1
-1
1
1
12
-1
16
12
14
-4
1
1
1
6
15
1
8
16
-5
9
1
3
1
-5
3
1
1
2
1
2
1
15
1
4
1
2
1
1
1
2
2
1
1
10
12
-1
10
12
6
1
12
9
1
7
10
13
8
-1
1
15
6
10
9
5
1
9
-1
1
1
3
1
1
2
-4
1
6
-1
16
2
1
2
3
1
2
6
14
1
13
1
1
15
13
8
1
2
1
1
6
1
1
10
-1
12
1
2
3
-11
10
1
15
15
-1
-1
14
-1
12
-1
14
-12
12
1
12
8
8
16
1
14
1
1
5
15
2
7
12
10
1
1
1
1
1
1
1
1
1
1
1
1
6
-4
1
12
1
1
13
15
11
-8
10
1
2
6
1
2
5
-5
12
12
13
14
6
2
6
-2
7
-6
6
12
12
14
1
-1
1
-1
13
9
1
13
1
10
15
5
-12
2
1
-12
1
2
1
15
6
2
7
10
14
5
1
-1
-4
-5
2
5
-5
1
1
1
1
1
1
1
1
6
14
1
1
1
-12
6
5
14
10
1
1
14
5
-5
9
8
6
6
-5
16
5
-5
5
-5
2
13
14
6
1
1
6
1
10
1
1
1
9
10
1
-4
6
9
7
14
-5
1
13
9
13
1
1
12
9
-1
-1
14
-12
1
-1
1
-2
-3
1
-4
-4
-2
1
-3
-5
1
6
-5
7
10
-12
-5
-11
6
-1
14
1
6
1
10
-4
15
10
6
1
9
6
-5
-11
-10
-10
7
10
-8
9
-10
-9
-5
-11
12
-5
1
-12
14
-12
1
9
-1
1
14
5
1
10
8
9
8
2
14
2
15
2
13
14
13
12
13
1
9
2
2
15
-1
-4
-11
-4
15
6
9
3
-11
1
-1
10
-5
1
1
1
2
9
6
-5
-11
-1
1
9
1
1
7
1
6
7
-11
7
7
6
14
-12
1
13
8
14
1
15
15
9
6
6
6
8
1
1
1
2
-5
14
13
9
15
1
14
-5
-5
14
13
8
1
2
2
6
-5
-11
16
9
6
12
12
1
1
1
14
-12
-5
-11
3
13
1
14
6
2
16
1
2
6
12
9
6
14
6
14
1
1
-5
-11
12
8
9
2
12
8
1
10
-5
-11
6
1
10
1
1
6
14
1
14
-12
1
14
-5
-11
2
9
2
1
1
6
14
-11
2
12
12
5
10
1
1
1
2
2
3
12
1
1
13
9
1
2
1
-10
1
15
-5
2
12
-1
1
2
1
1
11
2
2
12
1
9
5
-5
-11
13
-11
12
1
1
-11
1
12
9
1
1
8
16
2
2
-5
-11
-5
-11
15
-5
-11
-1
-4
1
1
-9
-1
-4
-11
-11
13
8
-10
1
-5
1
-5
-11
12
12
1
1
15
-5
-11
1
12
6
1
2
9
12
5
14
-6
